name,blurb,michelin_award,city,country,lat,lon,image,chef,cuisine1,cuisine2,url,url2
Malathounis,"Run by a friendly husband and wife team, Malthounis offers",ONE_STAR,Kernen im Remstal,Germany,48.793824,9.3423876,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/1f40ab7320b84f23b1cc753e475c2c12,Joannis Malathounis,Mediterranean Cuisine,Greek,https://guide.michelin.com/en/baden-wurttemberg/kernen-im-remstal/restaurant/malathounis,https://guide.michelin.com/en/baden-wurttemberg/kernen-im-remstal/restaurant/malathounis
Solana,"Located next to the Santuario de la Bien Aparecida, the",ONE_STAR,Ampuero,Spain,43.3263141,-3.4531514,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/07e3cfba2e5d484eb8d73bd6c9ffb60e,Ignacio Solana Pérez,Modern Cuisine,,https://guide.michelin.com/en/cantabria/ampuero/restaurant/solana,https://guide.michelin.com/en/cantabria/ampuero/restaurant/solana
Poemas by Hermanos Padrón,A unique culinary experience overseen by the award-winning Padrón,ONE_STAR,Las Palmas de Gran Canaria,Spain,28.1211968,-15.4272769,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/4e9c8e854ea8415ba20619598dfd09b9,Iciar Pérez,Creative,,https://guide.michelin.com/en/canarias/las-palmas-de-gran-canaria/restaurant/poemas-by-hermanos-padron,https://guide.michelin.com/en/canarias/las-palmas-de-gran-canaria/restaurant/poemas-by-hermanos-padron
Schote,"In Essen's city centre, Nelson Müller proposes a successful",ONE_STAR,Essen,Germany,51.437828,7.0052911,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/915a59de6fce4a969f9615fccf809593,Nelson Müller,Modern Cuisine,Market Cuisine,https://guide.michelin.com/en/nordrhein-westfalen/essen/restaurant/schote,https://guide.michelin.com/en/nordrhein-westfalen/essen/restaurant/schote
Seventh Son,"The Hong Kong based chain opened this comfortable, traditionally decorated",ONE_STAR,Shanghai,China Mainland,31.219598,121.460072,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/790c69c5-0cae-4097-83c8-2ddc48876113.JPG,,Cantonese,,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/seventh-son-jingan,
Paul Bocuse,"Since the loss of Mr Paul in 2018, the team",TWO_STARS,Collonges-au-Mont-d'Or,France,45.8156437,4.8475623,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/1c9c1fcb-54f8-44de-afac-b15649085780.jpg,Olivier Couvin,Classic Cuisine,,https://guide.michelin.com/en/auvergne-rhone-alpes/collonges-au-mont-d-or/restaurant/paul-bocuse,https://guide.michelin.com/en/auvergne-rhone-alpes/collonges-au-mont-d-or/restaurant/paul-bocuse
Sühring,"At Sühring, twin chefs Matthias and Thomas have created a",TWO_STARS,Bangkok,Thailand,13.7108084,100.5457264,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/206de581-d160-458f-a397-428ae9a02c7e.jpg,Mathias SÜHRING,European Contemporary,,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/suhring,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/suhring
Eirado,"Eirado occupies a typical house in the old quarter, where",ONE_STAR,Pontevedra,Spain,42.4326366,-8.6434132,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/6b191f90e4d4443e921f36d05b84eefd,Iñaki Bretal,Modern Cuisine,,https://guide.michelin.com/en/galicia/pontevedra/restaurant/eirado-da-lena,https://guide.michelin.com/en/galicia/pontevedra/restaurant/eirado-da-lena
The Kitchen,Beef is the star of the show at this handsome,ONE_STAR,Macau,Macau,22.1911977,113.5432276,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a9fb889d-2189-46c6-921c-3fb404900904.jpg,,Steakhouse,,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-kitchen417810,https://guide.michelin.com/en/macau-region/macau/restaurant/the-kitchen417810
Den Gouden Harynck,Philippe Serruys’ cellar is the fruit of many long years,ONE_STAR,Brugge,Belgium,51.2047898,3.2258701,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/b5f6047fe2bc4ef5aa91be4fecaa1dcb,Philippe Serruys,Creative,Modern French,https://guide.michelin.com/en/west-vlaanderen/brugge/restaurant/den-gouden-harynck,https://guide.michelin.com/en/west-vlaanderen/brugge/restaurant/den-gouden-harynck
